dataset,method,reduction,class,mac0,mac1,mac2,mac3,mac4,mac5,mac6,mac7,mac8,mac9,macro_avg_ic
books,no-is,0.0,roberta,0.8639822208,0.8562809339,0.8708262336,0.8559730075,0.8565105782,0.8660313680,0.8530520535,0.8674388985,0.8661726994,0.8640482687,
books,sublinear-ae-is,0.2499983465062037,modernbert,0.8458022230,0.8557627270,0.8436806466,0.8363383921,0.8351429367,0.8660234158,0.8504944220,0.8535228998,0.8645612165,0.8538772328,
books,sublinear-ae-is,0.2499983465062037,roberta,0.8501427049,0.8494579908,0.8628975802,0.8417312964,0.8419745781,0.8788555343,0.8325107093,0.8564625403,0.8460804612,0.8532746716,
dblp,adaptive-cluster-is,0.40834386213980556,roberta,0.8090110747,0.7917773414,0.7892694697,0.7956084136,0.7881343960,0.7712061033,0.7888873121,0.8047649627,0.7961890211,0.7805050844,
dblp,adaptive-perplexity,0.4041707428436757,roberta,0.8166259607,0.7994582059,0.7938114299,0.7825293522,0.7985728301,0.7795441604,0.8013032468,0.7923946352,0.7959539378,0.7888461577,
dblp,autoencoder-is,0.24997668675005638,modernbert,0.8249124104,0.8231761928,0.8143845434,0.8037634061,0.8313715611,0.8009429009,0.8193613305,0.8145787850,0.8110492058,0.8101163411,
dblp,autoencoder-is,0.24997668675005638,roberta,0.8069960506,0.7958023795,0.7934778268,0.8019128247,0.8024023467,0.7954153748,0.8037610995,0.8119415832,0.8132329443,0.8044646458,
dblp,biois,0.3403418921402079,modernbert,0.8358390955,0.8253949749,0.8112039585,0.8062788539,0.8208613677,0.8019770868,0.8128246518,0.8137690428,0.8180755789,0.8058491158,
dblp,biois,0.3403418921402079,roberta,0.8126313334,0.8038734294,0.7927820577,0.7801976434,0.7806678544,0.7856680691,0.7935076918,0.8146709519,0.7934435621,0.7889033921,
dblp,entropy-sublinear-ae-is,0.16870948874222738,modernbert,0.8290529764,0.8367160170,0.8018442318,0.8014609002,0.8176784922,0.8179502090,0.8084630860,0.8329513500,0.8231434252,0.7970043266,
dblp,entropy-sublinear-ae-is,0.16870948874222738,roberta,0.8166087797,0.8150166947,0.8123592295,0.7836782059,0.8125614225,0.7878497483,0.7804274913,0.8200263996,0.8036418577,0.8011291241,
dblp,gmm-is,0.29998368074202386,roberta,0.8127666078,0.8034553361,0.7920529218,0.7912455540,0.7952753200,0.7812689135,0.7982379013,0.8074032585,0.7884310269,0.7985446940,
dblp,no-is,0.0,modernbert,0.8386102274,0.8201030348,0.8160430488,0.8122457359,0.8125657994,0.8212085781,0.8252211705,0.8274728764,0.8317546817,0.8118350823,
dblp,no-is,0.0,roberta,0.8083758844,0.8226861146,0.7952446217,0.7843853573,0.7899820500,0.7828598010,0.8112368542,0.8276100188,0.8031875426,0.8055837408,
dblp,sublinear-ae-is,0.24998834337502818,modernbert,0.8327931731,0.8112586313,0.8177560676,0.8115491378,0.8211898405,0.8149979450,0.8157976920,0.8320887733,0.8146358158,0.8179288812,
dblp,sublinear-ae-is,0.24998834337502818,roberta,0.7903753473,0.8088977154,0.8002172881,0.8032447505,0.7957950895,0.7738286070,0.7932391865,0.7878641717,0.8115166424,0.7963209538,
movie_review,adaptive-cluster-is,0.42021510287094177,roberta,0.8872974629,0.8496473688,0.8834208224,0.8626327459,0.8658270921,0.8864386918,0.8789688669,0.8752159636,0.8705326969,0.8344066646,
movie_review,adaptive-perplexity,0.3620855050556283,roberta,0.8750546979,0.8650325718,0.8357531214,0.8742959928,0.8835850971,0.8826639381,0.8732645540,0.8742924528,0.8393722435,0.8742216117,
movie_review,autoencoder-is,0.24990099878770922,modernbert,0.8884582442,0.8865197920,0.8892995814,0.8949328546,0.8986738390,0.8977283429,0.8939379131,0.8891794266,0.8968101433,0.8818007096,
movie_review,autoencoder-is,0.24990099878770922,roberta,0.8875350465,0.8771827159,0.8798737886,0.8798826715,0.8930039268,0.8844908649,0.8844762099,0.8873404165,0.8771105860,0.8714820633,
movie_review,biois,0.3440046617044057,modernbert,0.8911071227,0.8940952230,0.8967581750,0.9014987710,0.8817944683,0.9033729441,0.8761617100,0.8836277327,0.8902360784,0.8826845990,
movie_review,biois,0.3440046617044057,roberta,0.8883153940,0.8504117242,0.8798978963,0.8873816768,0.8704670330,0.8947709838,0.8818011257,0.8637759711,0.8590682818,0.8626870412,
movie_review,entropy-sublinear-ae-is,0.2972134591862468,modernbert,0.8967547730,0.8922117132,0.8814970356,0.8797009451,0.8760989011,0.8892293928,0.8871814410,0.8911816057,0.8804716436,0.8845413151,
movie_review,entropy-sublinear-ae-is,0.2972134591862468,roberta,0.8706398516,0.8798237340,0.8760609231,0.8817195211,0.8742964353,0.8863546455,0.8722903453,0.8789629013,0.8808620958,0.8752317767,
movie_review,gmm-is,0.2998186711894243,roberta,0.8600236841,0.8650325718,0.8712527472,0.8722745934,0.8513113151,0.8873900045,0.8603368177,0.8723982538,0.8864906582,0.8789688669,
movie_review,no-is,0.0,modernbert,0.8931372687,0.8950319725,0.8958239239,0.8995857965,0.8891649749,0.9071058309,0.8977333837,0.8939752546,0.8939692817,0.8845047024,
movie_review,no-is,0.0,roberta,0.8800247372,0.8687401586,0.8787092449,0.8807974776,0.8723982538,0.8721159580,0.8808604183,0.8760744582,0.8703615579,0.8874153767,
movie_review,sublinear-ae-is,0.24991141871037545,modernbert,0.8894047996,0.8959403953,0.9052491976,0.8835132839,0.8817195211,0.9043138497,0.8874233032,0.8968105066,0.8883393321,0.8855534709,
movie_review,sublinear-ae-is,0.24991141871037545,roberta,0.8668041578,0.8725388237,0.8889540201,0.8817994614,0.8494291798,0.8949339641,0.8807865611,0.8780449169,0.8664740150,0.8658525961,
mpqa,adaptive-cluster-is,0.45109699366426986,roberta,0.8974831300,0.8770765108,0.8605415352,0.8502111518,0.8623598745,0.8786472743,0.8836162410,0.8915445462,0.8689368602,0.8700203340,
mpqa,adaptive-perplexity,0.2613930956795235,roberta,0.8808321918,0.8630405445,0.8850858625,0.8673315396,0.8806231776,0.8609542386,0.8854306445,0.8998113850,0.8819139466,0.8642787407,
mpqa,autoencoder-is,0.2499633337822089,modernbert,0.8828295860,0.8881128260,0.8733667521,0.8649035935,0.8748012001,0.8762330792,0.8989311803,0.8904096688,0.9072870852,0.8726563391,
mpqa,autoencoder-is,0.2499633337822089,roberta,0.8917450905,0.8651042550,0.8699531782,0.8400281185,0.8624745738,0.8731771456,0.8877649090,0.8900630602,0.8954222573,0.8935139979,
mpqa,biois,0.30670270511719216,modernbert,0.8966044063,0.8963075211,0.8871228563,0.8856784710,0.8654965903,0.8830348360,0.8949405108,0.8946919756,0.8813766892,0.8736549868,
mpqa,biois,0.30670270511719216,roberta,0.8850353119,0.8727975666,0.8719224491,0.8567819183,0.8718054479,0.8848829848,0.8884849097,0.8989635266,0.8924835750,0.8762059789,
mpqa,entropy-sublinear-ae-is,0.3051100705393103,modernbert,0.8662961482,0.8753723141,0.8742284464,0.8732836940,0.8625186475,0.8810265242,0.8792837917,0.8928483964,0.8848194311,0.8755008026,
mpqa,entropy-sublinear-ae-is,0.3051100705393103,roberta,0.8909597621,0.8848309293,0.8891569240,0.8708097223,0.8680512374,0.8767311088,0.8809748238,0.9067279095,0.8827791127,0.8619614673,
mpqa,gmm-is,0.2998302855342338,roberta,0.8806464515,0.8822532958,0.8760619319,0.8643244893,0.8724996688,0.8819663665,0.8850744009,0.8917483660,0.8910052877,0.8821812038,
mpqa,no-is,0.0,modernbert,0.8767311088,0.9003503955,0.8868379170,0.8658520914,0.8795516781,0.8760444763,0.8921959319,0.9030215792,0.8870379967,0.8863042879,
mpqa,no-is,0.0,roberta,0.8730777481,0.8779606537,0.8770516906,0.8725655571,0.8601751106,0.8752660628,0.8833685322,0.8957837020,0.8925509731,0.8793884030,
mpqa,sublinear-ae-is,0.2500471440046525,modernbert,0.8838295569,0.8819663665,0.8792330160,0.8756447610,0.8685781893,0.8856444058,0.8986186157,0.9004619462,0.8809065229,0.8858530405,
mpqa,sublinear-ae-is,0.2500471440046525,roberta,0.8872097884,0.8855766258,0.8647012388,0.8611658019,0.8665974966,0.8754392357,0.8684627213,0.8911861169,0.8750055910,0.8813709190,
ohsumed,adaptive-cluster-is,0.40500729732675994,roberta,0.7426353842,0.7016095160,0.7489754997,0.7182237732,0.7297935554,0.7461195384,0.7456281002,0.7219974509,0.7540541055,0.7298535850,
ohsumed,adaptive-perplexity,0.4171978398668459,roberta,0.7360897128,0.7211116869,0.7126314356,0.7233538053,0.7328856538,0.7383253456,0.7474990033,0.7206780143,0.7226840790,0.7411844903,
ohsumed,autoencoder-is,0.2499423258191528,modernbert,0.7710742509,0.7511083602,0.7575987421,0.7537283979,0.7499408020,0.7787640132,0.7764872419,0.7622041748,0.7619031867,0.7710316747,
ohsumed,autoencoder-is,0.2499423258191528,roberta,0.7419257808,0.7347074824,0.7454327794,0.7554010551,0.7305830998,0.7574673581,0.7677481911,0.7596013384,0.7487150456,0.7364334834,
ohsumed,biois,0.3904248471764685,modernbert,0.7193598157,0.7270499541,0.7407418012,0.7410265131,0.7381891867,0.7425136774,0.7530742092,0.7690634911,0.7404390163,0.7354594135,
ohsumed,biois,0.3904248471764685,roberta,0.7619621582,0.6992771848,0.7141903496,0.7270634452,0.7344687601,0.7538848641,0.7294250888,0.7445597796,0.7272422272,0.7263304421,
ohsumed,entropy-sublinear-ae-is,0.13904383590108438,modernbert,0.7932938148,0.7361553266,0.7778857192,0.7498818952,0.7692802568,0.7504324271,0.7712552580,0.7706895693,0.7621551801,0.7848455387,
ohsumed,entropy-sublinear-ae-is,0.13904383590108438,roberta,0.7695096767,0.7387611774,0.7549050075,0.7547224711,0.7467609904,0.7364872869,0.7624998836,0.7455931440,0.7412718855,0.7622523087,
ohsumed,gmm-is,0.29995507432094953,roberta,0.7623150862,0.7333563701,0.7400474859,0.7333308665,0.7155418616,0.7485178959,0.7636321916,0.7185896365,0.7429891310,0.7702218036,
ohsumed,no-is,0.0,modernbert,0.7866722795,0.7575602278,0.7971497829,0.7572363186,0.7541339542,0.7861299592,0.8010499193,0.7799356188,0.7819729499,0.8032451086,
ohsumed,no-is,0.0,roberta,0.7851615204,0.7455796030,0.7821729358,0.7447376209,0.7467771208,0.7558491619,0.7581101688,0.7622149587,0.7660641618,0.7745234626,
ohsumed,sublinear-ae-is,0.2499544683727318,modernbert,0.7830744898,0.7375177722,0.7740910673,0.7518971742,0.7681860851,0.7590958707,0.7773314124,0.7841944414,0.7676714459,0.7840228847,
ohsumed,sublinear-ae-is,0.2499544683727318,roberta,0.7596216099,0.7226097716,0.7429096626,0.7524015389,0.7503105912,0.7607731012,0.7622634783,0.7278609903,0.7432495300,0.7485576727,
pang_movie,adaptive-cluster-is,0.42679059086098603,roberta,0.8792133773,0.8636654304,0.8494908314,0.8657675452,0.8205398395,0.8695967085,0.8581591156,0.8742747500,0.8752027829,0.8742326859,
pang_movie,adaptive-perplexity,0.35795870056690116,roberta,0.8725715890,0.8761198445,0.8646411276,0.8760871173,0.8686383241,0.8599044767,0.8667537534,0.8685341790,0.8779968165,0.8555973747,
pang_movie,autoencoder-is,0.24990099933063972,modernbert,0.8894662059,0.8836363380,0.8958569320,0.8939177378,0.8968046946,0.8920781925,0.8883652739,0.8846144708,0.8911436711,0.8815405131,
pang_movie,autoencoder-is,0.24990099933063972,roberta,0.8762308784,0.8817595048,0.8789688669,0.8509428686,0.8713099261,0.8683546626,0.8780419118,0.8655459072,0.8788075881,0.8713099261,
pang_movie,biois,0.34311886041392237,modernbert,0.8960563892,0.8817674150,0.8911758597,0.8797556479,0.8864890600,0.8910957360,0.8930566556,0.8789398855,0.8661467176,0.8777798944,
pang_movie,biois,0.34311886041392237,roberta,0.8885649577,0.8677101569,0.8855498451,0.8808620958,0.8563351176,0.8606289753,0.8739730378,0.8732770531,0.8658535405,0.8676877979,
pang_movie,entropy-sublinear-ae-is,0.2935761617371841,modernbert,0.8951307184,0.8939961544,0.8977441836,0.8855131713,0.8804969657,0.8827391088,0.8780277426,0.9005614517,0.9052231744,0.8796602038,
pang_movie,entropy-sublinear-ae-is,0.2935761617371841,roberta,0.8380749298,0.8797556479,0.8619349825,0.8892960741,0.8751544301,0.8425394995,0.8732368685,0.8948617965,0.8832564959,0.8901835030,
pang_movie,gmm-is,0.299818671840805,roberta,0.8828839498,0.8456316578,0.8732770531,0.8474452297,0.8817973810,0.8817994614,0.8714793489,0.8752212350,0.8930205043,0.8675870891,
pang_movie,no-is,0.0,modernbert,0.9026213814,0.8883393321,0.8860937118,0.8864626822,0.8968105066,0.8986863225,0.8986063749,0.8845047024,0.8995504243,0.8756363482,
pang_movie,no-is,0.0,roberta,0.8641978015,0.8667917448,0.8319773311,0.8939961544,0.8513113151,0.8874280585,0.8655212356,0.8665432360,0.8864906582,0.8742805040,
pang_movie,sublinear-ae-is,0.24994268119325308,modernbert,0.8979378379,0.8948395712,0.8977009703,0.8902221663,0.8864834657,0.8883629160,0.8985438279,0.8825654923,0.8995164435,0.8986852527,
pang_movie,sublinear-ae-is,0.24994268119325308,roberta,0.8698500732,0.8799143855,0.8733091825,0.8780277426,0.8685638193,0.8760609231,0.8750311809,0.8817907232,0.8920401756,0.8653530378,
reuters90,adaptive-cluster-is,0.41819141909981655,roberta,0.4322763022,0.3426028626,0.3934354569,0.3610186438,0.4225401960,0.3952874065,0.4932764262,0.4130764056,0.4080815990,0.4435087053,
reuters90,adaptive-perplexity,0.4137733393474242,roberta,0.4184793651,0.3195220926,0.4113076962,0.3987928282,0.4324210890,0.4137927060,0.4596103698,0.4176276123,0.4539730746,0.4429022162,
reuters90,autoencoder-is,0.24988540742707507,modernbert,0.4074703512,0.3247911558,0.3765479548,0.3712202993,0.4094355311,0.4065719134,0.3987897796,0.3760691421,0.3746546822,0.4201696521,
reuters90,autoencoder-is,0.24988540742707507,roberta,0.4448077455,0.3518031191,0.3870288659,0.3998927048,0.4275991247,0.3983266963,0.4498670859,0.4391796508,0.4258133634,0.4510239885,
reuters90,biois,0.39306925329033093,modernbert,0.3823261996,0.3396425998,0.3560264522,0.3197139689,0.4022764280,0.3757316189,0.3985764242,0.3911629686,0.3861956939,0.3785321385,
reuters90,biois,0.39306925329033093,roberta,0.4194722681,0.3464373517,0.3608850595,0.3384235607,0.4133260578,0.3650797720,0.4296442401,0.4107223359,0.4131637810,0.4453773878,
reuters90,entropy-sublinear-ae-is,0.24226558673055637,modernbert,0.3742844832,0.3551485784,0.4123777400,0.3678837400,0.4112943785,0.4151238766,0.4132791228,0.3821744971,0.4019320387,0.4250406075,
reuters90,entropy-sublinear-ae-is,0.24226558673055637,roberta,0.4333902152,0.3503156206,0.3906992130,0.3742010827,0.4228570634,0.3876209914,0.4835746640,0.4319131640,0.4025739813,0.4424360855,
reuters90,gmm-is,0.2999341166680657,roberta,0.4567468000,0.3547735501,0.3984327881,0.3876911028,0.4323991847,0.4133094246,0.5012396278,0.4306390212,0.4026518704,0.4491863989,
reuters90,no-is,0.0,modernbert,0.3637186381,0.3651215483,0.4115459031,0.3703722354,0.3946613321,0.3721447015,0.4223942524,0.3878465714,0.4229050616,0.3974401776,
reuters90,no-is,0.0,roberta,0.4387353714,0.3721227874,0.4042513178,0.3915058118,0.4426243558,0.3844550600,0.4478445233,0.4329985097,0.4497480723,0.4465501835,
reuters90,sublinear-ae-is,0.24993538058599013,modernbert,0.3967755858,0.3529775863,0.4270766814,0.3313264010,0.4078380167,0.3926092160,0.4166954646,0.4117553153,0.3636012526,0.3951653976,
reuters90,sublinear-ae-is,0.24993538058599013,roberta,0.4285292343,0.3437714629,0.3762453779,0.3589343905,0.4472646579,0.3688071065,0.4679705990,0.4354703640,0.4018376368,0.4407966232,
sst1,adaptive-cluster-is,0.42251260670514645,roberta,0.5128974737,0.5208885083,0.5146047976,0.5132962332,0.4708593841,0.5011345886,0.4769412343,0.5188027351,0.4903768272,0.4882948859,
sst1,adaptive-perplexity,0.35632406969082353,roberta,0.5093187234,0.5035212661,0.5162491618,0.5196973933,0.4810177372,0.4917781391,0.5098592070,0.5027208411,0.5226107548,0.5144385081,
sst1,autoencoder-is,0.24996485363484655,modernbert,0.4991623269,0.4765450857,0.4921422838,0.5218369135,0.4726388914,0.4492467670,0.4965876929,0.5075591231,0.4907829508,0.4631190831,
sst1,autoencoder-is,0.24996485363484655,roberta,0.5178673357,0.5516065585,0.4692206734,0.5232127157,0.5035617631,0.4927488176,0.5031734973,0.5345698463,0.5107548024,0.4857217101,
sst1,biois,0.5121326956682303,modernbert,0.4818009274,0.4893251529,0.4735017605,0.4713723010,0.4965092036,0.5018838509,0.5269939507,0.4822765386,0.4839762193,0.4738283099,
sst1,biois,0.5121326956682303,roberta,0.4933414975,0.5122387592,0.4955054508,0.5164831799,0.4873348307,0.4949630653,0.4870443763,0.5249907816,0.5317955603,0.4843029549,
sst1,entropy-sublinear-ae-is,0.29860802034606476,modernbert,0.4827894362,0.5100026757,0.4631231473,0.5001081128,0.5076484864,0.4479866038,0.4550724680,0.5019412961,0.5093910684,0.4813229232,
sst1,entropy-sublinear-ae-is,0.29860802034606476,roberta,0.5162675401,0.5268018932,0.5341215502,0.5035041456,0.5230451993,0.4820606955,0.4864134873,0.5208728857,0.5383651627,0.4922050754,
sst1,gmm-is,0.29992033432002585,roberta,0.5262750954,0.5179677057,0.5194707874,0.5244685205,0.5031791011,0.5010276223,0.4799285908,0.5344168498,0.5247163367,0.5125381483,
sst1,no-is,0.0,modernbert,0.4546038950,0.5250464604,0.4781023646,0.5484420986,0.4998657591,0.4898840018,0.5227419903,0.5108084666,0.5092482628,0.4959171312,
sst1,no-is,0.0,roberta,0.5245960686,0.5284771442,0.5106333327,0.5196933254,0.5208593691,0.4841149411,0.4748717137,0.5321338980,0.5235048052,0.5476946458,
sst1,sublinear-ae-is,0.2499648545132861,modernbert,0.5068109020,0.4830876419,0.4728694372,0.5131655144,0.4940402483,0.4627007134,0.4697801421,0.4999943728,0.4799538563,0.4118230583,
sst1,sublinear-ae-is,0.2499648545132861,roberta,0.5204116632,0.5113282239,0.4556443344,0.5131742994,0.4806192920,0.4630854350,0.4891668343,0.5383632167,0.5139038444,0.5157460392,
sst2,adaptive-cluster-is,0.4286324719180565,roberta,0.9178402665,0.9041654214,0.9216342650,0.9136301374,0.8861326136,0.9094657737,0.9094029875,0.9166970059,0.9248494643,0.9229667663,
sst2,adaptive-perplexity,0.36035696636718684,roberta,0.9040636165,0.9137190829,0.8879792095,0.9113811992,0.8923719958,0.9110786712,0.9312500000,0.9020960680,0.9312887290,0.9082091626,
sst2,autoencoder-is,0.24989308529720827,modernbert,0.9250129915,0.9147373291,0.9344036245,0.9448022568,0.9259180844,0.9344387448,0.9415993124,0.9364250491,0.9510238825,0.9458530539,
sst2,autoencoder-is,0.24989308529720827,roberta,0.9018525031,0.9136070563,0.9291067906,0.9206923511,0.8969732374,0.9048304652,0.9344089132,0.9145833333,0.9249544469,0.9120553963,
sst2,biois,0.32148596473311164,modernbert,0.9240979703,0.9230020421,0.9312967187,0.9322773522,0.9302761255,0.9395014935,0.9354530485,0.9353774403,0.9427193231,0.9259338462,
sst2,biois,0.32148596473311164,roberta,0.9186231130,0.9167589644,0.9116377331,0.9153373032,0.9042289527,0.9101478582,0.9196021230,0.9228698482,0.9313089699,0.9154458210,
sst2,entropy-sublinear-ae-is,0.29854270600011873,modernbert,0.9165962243,0.9292943704,0.9313855172,0.9229781132,0.9290244941,0.9427121212,0.9310616930,0.9281845504,0.9437816874,0.9280873506,
sst2,entropy-sublinear-ae-is,0.29854270600011873,roberta,0.9230649519,0.9136429365,0.9281899270,0.9218069404,0.9021673208,0.9312195820,0.9291924551,0.9343705183,0.9076365225,0.9217444553,
sst2,gmm-is,0.2999410528891098,roberta,0.9196352917,0.9062305053,0.9157340370,0.9176652275,0.9077405109,0.9094128036,0.9155514957,0.9155808029,0.9034752913,0.9248135334,
sst2,no-is,0.0,modernbert,0.9313347609,0.9292451198,0.9374471682,0.9322067929,0.9364250491,0.9229927924,0.9500182036,0.9292274236,0.9458333333,0.9333333333,
sst2,no-is,0.0,roberta,0.9124059107,0.9209487192,0.9260476724,0.9197625308,0.9094029875,0.9250188558,0.9125864130,0.9229447305,0.9291666667,0.9240108016,
sst2,sublinear-ae-is,0.24995087807560804,modernbert,0.8732208751,0.9271328835,0.9261084756,0.9237597497,0.9291758790,0.9177711708,0.9478664861,0.9344387448,0.9323609509,0.9333420037,
sst2,sublinear-ae-is,0.24995087807560804,roberta,0.9131053681,0.9155440667,0.9282178833,0.9247749511,0.9113103827,0.9120837472,0.9279723660,0.9140309306,0.9333576048,0.9299301227,
subj,adaptive-cluster-is,0.4215777777777778,roberta,0.9529988250,0.9639994240,0.9629996670,0.9689997210,0.9529706066,0.9649999650,0.9619961996,0.9479991680,0.8415766294,0.9589989750,
